Company,Dates,ESG_DISCLOSURE_SCORE,SOCIAL_SCORE,ESG_UNCERTAINTY_RANKING
CAG US Equity,2020,,,
CAG US Equity,2021,,,
CAG US Equity,2022,,,
CAH US Equity,2017,,,
CAH US Equity,2018,,,
CAH US Equity,2019,,,
CAH US Equity,2020,,,
CAH US Equity,2021,,,
CAH US Equity,2022,,,
CARR US Equity,2017,,,
CARR US Equity,2018,,,
CARR US Equity,2019,,,
CARR US Equity,2020,,,
CARR US Equity,2021,,,
CARR US Equity,2022,,,
CAT US Equity,2017,,,
CAT US Equity,2018,,,
CAT US Equity,2019,,,
CAT US Equity,2020,,,
CAT US Equity,2021,,,
CAT US Equity,2022,,,
CB US Equity,2017,,,
CB US Equity,2018,,,
CB US Equity,2019,,,
CB US Equity,2020,,,
CB US Equity,2021,,,
CB US Equity,2022,,,
CBOE US Equity,2017,,,
CBOE US Equity,2018,,,
CBOE US Equity,2019,,,
CBOE US Equity,2020,,,
CBOE US Equity,2021,,,
CBOE US Equity,2022,,,
CBRE US Equity,2017,,,
CBRE US Equity,2018,,,
CBRE US Equity,2019,,,
CBRE US Equity,2020,,,
CBRE US Equity,2021,,,
CBRE US Equity,2022,,,
CCI US Equity,2017,,,
CCI US Equity,2018,,,
CCI US Equity,2019,,,
CCI US Equity,2020,,,
CCI US Equity,2021,,,
CCI US Equity,2022,,,
CCL US Equity,2017,,,
CCL US Equity,2018,,,
CCL US Equity,2019,,,
CCL US Equity,2020,,,
CCL US Equity,2021,,,
CCL US Equity,2022,,,
CDAY US Equity,2017,,,
CDAY US Equity,2018,,,
CDAY US Equity,2019,,,
CDAY US Equity,2020,,,
CDAY US Equity,2021,,,
CDAY US Equity,2022,,,
CDNS US Equity,2017,,,
CDNS US Equity,2018,,,
CDNS US Equity,2019,,,
CDNS US Equity,2020,,,
CDNS US Equity,2021,,,
CDNS US Equity,2022,,,
CDW US Equity,2017,,,
CDW US Equity,2018,,,
CDW US Equity,2019,,,
CDW US Equity,2020,,,
CDW US Equity,2021,,,
CDW US Equity,2022,,,
CE US Equity,2017,,,
CE US Equity,2018,,,
CE US Equity,2019,,,
CE US Equity,2020,,,
CE US Equity,2021,,,
CE US Equity,2022,,,
CEG US Equity,2017,,,
CEG US Equity,2018,,,
CEG US Equity,2019,,,
CEG US Equity,2020,,,
CEG US Equity,2021,,,
CEG US Equity,2022,,,
CELG US Equity,2017,,,
CELG US Equity,2018,,,
CELG US Equity,2019,,,
CELG US Equity,2020,,,
CELG US Equity,2021,,,
CELG US Equity,2022,,,
CERN US Equity,2017,,,
CERN US Equity,2018,,,
CERN US Equity,2019,,,
CERN US Equity,2020,,,
CERN US Equity,2021,,,
CERN US Equity,2022,,,
CF US Equity,2017,,,
CF US Equity,2018,,,
CF US Equity,2019,,,
CF US Equity,2020,,,
CF US Equity,2021,,,
CF US Equity,2022,,,
CFG US Equity,2017,,,
CFG US Equity,2018,,,
CFG US Equity,2019,,,
CFG US Equity,2020,,,
CFG US Equity,2021,,,
